Id,MSSubClass,MSZoning,LotFrontage,LotArea,Neighborhood,OverallQual,OverallCond,YearBuilt,YearRemodAdd,TotalBsmtSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,GarageCars,SalePrice
28,50,RL,78,11498,OldTown,2,6,1959,1999,1532,2365,2,0,3,9,2,295287
29,20,RL,23,13583,NAmes,3,6,1918,1975,614,1461,1,0,3,7,1,206040
30,180,RL,76,3460,Crawfor,8,5,1924,1957,753,1801,2,0,3,7,3,345425
31,120,RL,78,14766,Timber,3,7,1957,1983,1235,1845,2,0,4,8,3,259269
32,60,RL,96,8414,NPkVill,8,4,1960,2008,1539,2378,2,0,3,6,3,384788
33,190,RL,94,7275,Gilbert,4,5,1972,1972,1126,1672,2,0,3,9,1,315969
34,180,RL,72,10246,NridgHt,7,5,1911,1980,698,893,1,2,3,7,2,287391
35,90,FV,100,6588,NoRidge,5,4,1903,2008,1652,1261,1,0,2,7,2,260112
36,20,RL,110,10493,Edwards,7,5,1995,1995,945,3066,2,1,2,5,2,427460
37,160,RL,70,9954,Timber,6,5,1892,1965,957,870,1,0,5,6,1,258963
38,160,RM,78,14741,BrkSide,5,3,1958,2007,475,1525,1,0,3,6,2,222339
39,120,RL,34,16553,Somerst,3,4,1935,1959,1339,2656,2,0,2,6,3,338221
40,180,RM,40,16426,SWISU,7,6,1932,1989,1391,1100,2,0,4,8,1,284139
41,180,RL,53,1441,ClearCr,6,2,1947,1961,767,334,2,0,3,6,1,224980
42,40,RL,61,6759,Blueste,1,8,1913,1971,1750,334,1,0,3,5,1,130880
43,180,RL,48,1400,Veenker,1,4,1907,1965,815,1102,1,1,2,7,1,164611
44,70,RL,69,5725,BrkSide,7,7,1929,1961,1300,618,2,0,4,7,2,228621
45,45,RL,61,7901,NPkVill,5,7,2009,2009,1139,2018,1,0,3,5,2,331696
46,90,RL,91,12142,Somerst,6,8,1990,1990,239,1634,1,0,3,3,1,235737
47,40,RL,60,8420,Crawfor,5,7,1973,2000,1267,433,1,0,1,9,2,206986
48,50,RL,24,8531,ClearCr,7,5,1926,1950,1231,702,2,1,3,5,2,264518
49,40,RL,72,11227,Somerst,8,5,1905,1976,343,2120,1,0,2,9,1,267901
50,70,RL,69,3662,NWAmes,10,5,1963,1963,1660,1596,1,0,4,6,2,283490
51,50,RL,52,7145,CollgCr,4,4,1985,1985,1233,2216,1,0,2,7,1,346612
52,90,RL,71,8485,BrDale,7,2,1971,1979,1545,2059,1,1,3,5,2,318746
53,70,RL,48,9690,CollgCr,5,7,1999,1999,363,924,1,0,1,8,1,174210
54,30,RL,76,10807,Mitchel,6,5,1954,2002,885,1940,2,1,2,5,2,256823
55,45,RM,122,16502,Somerst,6,6,2001,2003,1522,1781,2,0,3,6,1,313059
56,90,RL,33,14133,SawyerW,2,8,1920,1986,422,519,1,1,3,6,4,209232
57,180,RM,59,7422,Veenker,8,6,1931,1950,897,819,1,1,3,8,2,266451
58,30,RL,56,9454,MeadowV,3,6,1961,1991,1212,2718,1,1,5,8,2,344769
59,120,RL,61,9182,MeadowV,6,7,1953,1998,292,1036,1,0,4,6,2,226489
60,90,RH,90,8443,SawyerW,7,4,1945,1953,521,1705,1,0,2,6,1,295417
61,120,RL,80,11590,Blueste,7,5,1903,1964,1602,1404,1,0,4,8,2,295427
62,50,RL,86,3060,IDOTRR,4,9,1907,2000,1073,1591,1,0,3,9,2,276909
63,30,RM,70,14022,Blmngtn,5,8,1996,1996,1520,1437,3,0,4,7,2,243086
64,45,RL,43,17274,NWAmes,7,7,1993,1993,1122,1982,1,1,2,9,0,323882
65,180,RM,47,9420,IDOTRR,5,5,1940,2009,2032,1969,2,0,4,6,1,323546
66,180,RL,84,9342,SWISU,5,7,1948,2009,1225,1558,1,0,2,5,2,297730
67,70,FV,73,11128,Sawyer,5,3,1993,1993,1557,1047,1,1,3,5,1,209026
68,180,RL,95,14577,Timber,5,4,1954,1964,951,1215,2,0,1,7,2,236938
69,190,RL,75,9202,IDOTRR,8,5,1938,1976,1134,712,1,1,2,6,1,288650
70,80,FV,46,14235,OldTown,5,5,2009,2009,1306,1332,1,1,3,5,3,303173
71,40,RL,59,12453,NoRidge,6,5,1894,1988,1373,616,2,1,4,6,2,299733
72,20,RH,81,19946,Edwards,5,5,1984,1996,1034,1609,2,1,3,7,1,253453
73,45,RL,84,9185,SWISU,5,4,1977,1977,1051,1647,1,0,2,5,2,201110
74,30,RL,87,2595,SawyerW,2,5,1914,1979,1250,2002,1,0,2,3,2,236614
75,80,RL,49,4768,Blmngtn,5,7,1910,2007,1250,889,2,0,3,9,2,142603
76,45,RL,45,10547,Blueste,5,6,2006,2006,639,923,2,0,4,6,2,265426
77,30,RL,66,14611,ClearCr,6,4,1898,1991,1139,2262,1,0,2,6,0,302035
78,60,RM,98,7889,Gilbert,5,5,1903,1967,1178,815,1,1,3,7,1,232895
79,60,RM,56,9576,IDOTRR,5,6,1963,1963,659,2525,2,0,2,8,2,347030
80,120,RH,79,13239,Gilbert,5,5,1971,1996,1412,1038,1,0,3,7,3,315180
81,45,RL,79,6639,Mitchel,5,5,1997,1997,1215,1041,1,1,2,6,3,166352
82,60,RL,85,8054,BrkSide,8,6,1926,1971,1982,1921,2,0,2,9,1,245788
83,190,RL,103,5829,Crawfor,6,9,1982,1982,1039,1774,1,0,2,7,2,274110
84,30,RL,101,15212,OldTown,2,4,2000,2000,1504,2320,2,0,2,6,3,292738
85,120,RL,58,16666,ClearCr,2,5,1973,1984,1265,554,2,1,2,7,0,172019
86,180,RL,28,4182,Blmngtn,9,5,1921,1996,1818,1766,2,1,3,7,2,371700
87,30,RL,56,9931,Sawyer,4,5,1990,1990,662,1477,1,1,2,7,2,259762
88,120,RL,71,16129,Blmngtn,7,4,1908,1982,851,961,1,0,2,9,2,198264
89,45,RL,62,12094,StoneBr,3,4,2003,2003,675,2440,1,1,2,7,2,258993
90,80,RL,109,8543,NPkVill,8,5,1896,1997,1018,1617,1,0,4,9,3,307069
91,70,RL,70,4315,Crawfor,7,8,1893,1950,600,1468,1,0,3,7,1,260319
92,180,RL,83,15111,NridgHt,6,6,1929,2002,439,1727,1,0,3,6,2,257089
93,90,RH,74,11942,NridgHt,1,6,1936,1998,196,635,1,0,3,7,1,131850
94,80,RL,63,4608,Timber,5,7,1983,1983,171,875,1,0,2,5,2,181390
95,50,RL,31,15259,Edwards,5,4,1918,1957,1312,1333,1,1,1,6,3,255348
96,190,RL,68,4098,NWAmes,5,7,1975,1999,867,1658,2,0,3,8,2,302415
97,30,RM,135,9618,NoRidge,5,6,1915,1965,556,2137,2,0,3,7,2,294992
98,50,RH,45,9441,BrDale,3,5,1993,1993,786,1057,1,0,4,5,2,207032
99,80,RM,33,16973,StoneBr,6,7,1916,1959,838,943,2,0,4,6,0,212411
100,120,RL,108,9455,NAmes,6,7,1893,1991,664,1750,2,0,3,5,1,249576
101,90,RL,84,9441,MeadowV,5,7,2002,2002,1692,1432,1,1,3,8,2,283897
102,180,RL,73,5047,NridgHt,3,4,1962,1975,1616,539,1,1,2,5,2,193691
103,180,RH,97,7938,Mitchel,10,9,1952,1977,1685,1040,2,1,2,7,2,323447
104,180,RM,53,7230,Mitchel,6,8,1981,1981,1121,1409,1,1,4,7,2,304246
105,190,RL,67,7439,MeadowV,7,5,1960,1969,1162,1422,1,0,2,7,2,316606
106,90,RM,89,10525,Gilbert,5,3,1962,1998,788,1544,3,1,5,6,0,200733
107,190,RL,112,1300,NridgHt,3,4,1923,1963,711,849,1,0,3,6,2,243126
108,190,RL,46,4459,NAmes,5,10,1947,1995,1058,1434,2,0,3,8,3,256278
109,20,C (all),95,10055,Veenker,5,5,1927,1984,1310,1973,1,0,2,8,3,334173
110,90,FV,77,10985,ClearCr,7,5,1936,1978,1528,334,1,0,3,8,2,210156
111,70,RL,73,9566,MeadowV,6,5,1954,1961,831,1358,1,0,3,8,0,310240
112,90,RL,69,10336,ClearCr,5,5,1901,2001,548,669,2,0,3,5,2,218777
113,80,RL,42,8863,NoRidge,9,6,1925,1967,1343,1483,1,0,2,5,2,355123
114,20,RL,89,10425,Blmngtn,5,5,1890,1993,322,747,1,1,2,9,1,182707
115,180,RL,54,12236,Gilbert,10,9,1910,1951,1034,1567,2,0,3,8,2,248477
116,80,RL,48,12208,Somerst,10,6,1999,1999,1085,2313,1,0,3,7,4,529211
117,80,C (all),87,7744,BrDale,4,7,1935,2008,898,1010,1,1,3,7,2,252108
118,160,RL,85,14160,StoneBr,5,5,1917,1966,431,1082,1,0,3,6,2,213997
119,40,RL,71,11128,NridgHt,6,3,1900,1959,903,1265,2,1,3,6,2,279377
120,20,RL,91,15428,SWISU,6,5,1989,1989,1707,1659,1,1,3,7,1,252474
121,80,RL,98,16231,Veenker,6,5,1973,1973,1286,990,1,0,2,9,1,186808
122,40,RL,96,4729,OldTown,9,5,1887,1968,1514,1309,1,0,3,6,3,334638
123,40,RL,59,7063,NridgHt,6,8,1951,2007,563,1165,1,0,1,6,1,215836
124,20,RL,90,13754,Mitchel,4,5,1998,2002,1152,1266,2,0,2,6,2,239128
125,160,RL,74,3840,Gilbert,4,4,1913,1950,1085,1665,2,0,2,4,2,258664
126,50,RM,104,16180,BrDale,6,5,1984,1984,1093,1775,1,0,3,7,3,264009
127,120,RL,67,9124,Gilbert,4,5,1966,1985,1272,761,1,0,2,11,2,224481
128,70,RL,62,12800,IDOTRR,7,10,1943,1974,1108,1663,1,0,2,8,0,243892
129,120,RL,57,10034,Blmngtn,5,5,1881,1985,574,3072,2,0,3,9,2,381706
130,90,RL,73,4930,Sawyer,5,5,1988,1988,1295,2272,1,1,0,7,2,325437
131,180,RL,79,14722,Crawfor,2,6,1905,1980,1386,1179,1,0,3,7,2,228155
132,70,RL,79,21502,BrkSide,6,5,1962,1962,1577,1565,3,1,3,12,2,227417
133,90,RL,76,8439,Crawfor,4,5,1986,1986,1595,1483,1,0,4,6,1,294554
134,80,RL,83,9210,NridgHt,7,4,1948,2002,1240,1729,3,1,1,9,3,405208
135,180,RL,65,1300,NAmes,6,5,1976,1976,592,1288,1,0,2,8,2,272524
136,30,RM,52,15906,NAmes,7,4,1909,1959,438,1365,1,0,3,6,2,290084
137,20,RL,50,14147,Crawfor,6,2,1887,1980,959,1134,1,0,3,7,2,243521
138,70,RL,89,3566,NPkVill,4,7,1917,1994,1417,2047,1,0,2,6,1,298397
139,70,RL,79,2240,NWAmes,7,4,1960,1971,1392,1655,1,0,3,5,2,401550
140,80,RL,32,2703,IDOTRR,3,6,1987,1987,1159,1659,1,0,3,6,0,324093
141,50,RM,91,13080,SWISU,5,7,1944,2001,1035,2109,2,0,1,9,2,319348
142,40,RL,107,13479,NridgHt,4,5,1946,1972,1811,2116,1,0,3,8,2,265896
143,180,RL,55,6806,NWAmes,7,5,1969,1969,1279,2022,2,0,2,6,2,374391
144,80,RL,76,12497,Blueste,8,4,1974,1975,1015,2101,2,0,4,6,1,280793
145,60,RL,60,11135,NPkVill,6,6,1951,1952,791,2281,2,0,3,7,2,293095
146,160,RL,82,9030,Sawyer,6,6,1922,1972,646,1016,2,1,1,6,2,225013
147,40,RM,46,14380,NridgHt,7,6,1925,1969,607,1350,1,0,3,7,2,361105
148,20,RL,68,5680,MeadowV,1,1,2004,2004,646,1854,1,1,5,7,1,268543
149,40,RL,89,15090,StoneBr,8,8,1918,1989,1162,1057,1,0,3,7,2,343844
150,50,C (all),94,7585,Edwards,4,3,1930,2006,1042,1318,1,0,3,5,1,262528
151,40,RL,78,17626,Blmngtn,9,5,1883,1988,919,1597,1,0,3,7,3,285901
152,20,RL,63,6478,NPkVill,7,5,2000,2005,1344,1384,1,0,3,6,2,326616
153,50,RL,38,9093,ClearCr,7,1,1959,1959,1773,1533,2,1,1,6,3,431571
154,120,FV,54,10734,NAmes,6,5,1956,1967,720,927,2,0,2,6,1,253747
155,70,RL,60,10709,Gilbert,5,6,1934,1990,780,1481,1,1,3,6,2,300931
156,70,RL,56,12463,BrDale,6,7,1899,1955,163,1567,1,0,3,9,1,185744
157,160,RL,71,5357,SawyerW,3,7,1913,1976,1039,2307,1,0,2,8,2,309936
158,90,RL,63,10350,Mitchel,6,5,2001,2001,998,1365,1,0,3,7,2,243475
159,120,RL,73,11052,NoRidge,6,6,1988,1988,1407,1174,1,0,3,7,2,278824
160,120,RL,94,8389,IDOTRR,8,3,2005,2005,1015,1856,2,0,3,3,1,409526
161,180,RL,61,12116,OldTown,6,5,1933,2007,814,334,1,0,2,6,0,203460
162,190,RL,42,5114,BrkSide,3,4,1968,1968,1127,1341,1,0,3,8,2,269525
163,40,RL,55,9194,Blueste,5,5,1932,1988,1272,1243,1,2,3,6,2,254657
164,70,RL,81,7487,StoneBr,6,5,1929,1958,402,1630,3,0,3,7,2,193070
165,20,RL,83,9206,Crawfor,5,5,1951,1956,1452,2123,2,1,2,5,1,266100
166,45,RL,78,16288,Mitchel,5,5,1895,1990,1572,2275,2,0,3,9,1,341945
167,190,RL,96,16365,NPkVill,7,8,1892,1969,1268,1623,1,0,4,9,2,320003
168,45,RL,66,15581,Gilbert,6,5,1899,1959,676,724,1,1,3,5,2,279732
169,50,RL,111,8650,CollgCr,6,9,1945,1975,919,1242,1,1,2,8,2,273986
170,70,RL,86,14130,OldTown,5,6,1926,1953,1523,1297,1,0,3,5,2,234902
171,70,RM,20,10949,StoneBr,7,5,2001,2001,658,1683,2,0,2,7,2,310298
172,190,RL,106,10682,Timber,5,6,1933,1973,1301,1528,1,0,2,5,3,331876
173,160,RL,54,10190,Timber,7,4,1885,1963,1029,1155,1,1,2,5,0,184399
174,190,RL,49,17533,NridgHt,3,7,1893,1990,1114,874,2,0,2,3,2,209412
175,45,FV,80,15963,Veenker,7,6,1965,1965,715,1065,1,1,3,10,2,220592
176,190,RL,35,13479,Somerst,6,9,1906,1966,1182,1047,2,0,2,8,2,264547
177,70,RL,56,9818,Blmngtn,5,6,1886,1994,1153,2310,1,0,4,5,2,341384
178,160,RL,101,10658,IDOTRR,6,7,1881,1973,446,1115,1,1,3,7,2,254350
179,40,RL,81,12622,Crawfor,6,7,1959,1976,1048,1530,1,2,3,6,2,349976
180,60,RH,86,8413,NAmes,4,5,1939,1956,1295,1984,2,0,3,6,2,300668
181,180,RM,56,14253,NoRidge,7,5,1903,1958,895,1597,1,1,3,9,2,316955
182,30,RL,39,6815,NAmes,5,5,1894,1992,70,956,1,1,3,5,2,219140
183,120,RL,84,12067,SawyerW,8,5,1974,1984,1004,1992,1,1,3,7,2,297790
184,190,C (all),88,1341,Veenker,7,5,1960,2007,1636,1677,2,1,4,6,0,306342
185,90,RM,87,8297,Veenker,5,7,1897,1961,912,407,2,0,3,5,0,112436
186,50,RL,74,18810,MeadowV,7,5,1899,1970,1621,2122,1,1,3,6,2,363594
187,60,FV,50,14644,BrDale,5,9,1994,1994,725,1936,1,1,3,10,2,173847
188,180,C (all),118,16641,Timber,4,7,1919,1964,585,1669,2,0,3,8,2,278622
189,180,RL,79,7830,NWAmes,9,5,1918,1970,1047,2317,2,0,2,5,2,463562
190,180,RL,66,10915,IDOTRR,6,8,1911,1959,720,1925,2,0,2,8,2,315644
191,180,RL,66,15627,NAmes,5,5,2003,2003,1181,2063,1,1,4,9,1,338715
192,45,RM,72,13032,Timber,5,7,1987,1995,900,2018,1,1,2,6,3,371209
193,160,RL,91,12534,IDOTRR,5,5,1906,2008,1639,1878,2,0,4,6,1,273571
194,120,RM,73,17022,Somerst,9,5,1989,2001,873,604,2,0,2,5,2,231579
195,70,RL,87,6338,StoneBr,4,5,1976,1976,1085,664,2,0,3,6,2,215454
196,180,RL,73,9763,SWISU,5,5,1953,1953,1288,1925,1,0,3,7,3,278168
197,90,RL,67,3483,Somerst,6,5,1896,1978,1432,2115,2,0,2,6,1,316083
198,70,RL,82,6119,Gilbert,5,5,1928,2004,1641,1147,2,0,3,3,2,277114
199,20,RH,82,14796,SWISU,5,5,1960,1989,956,943,2,1,3,6,2,224218
200,20,RM,66,6830,Mitchel,4,8,1995,1995,890,1631,1,0,3,6,2,240563
201,90,RM,55,13442,SWISU,4,6,1902,1953,284,773,2,1,3,7,1,118748
202,160,RL,76,17133,SWISU,5,5,1977,2008,1866,1415,2,0,2,7,2,290653
203,90,RL,71,9788,Somerst,8,6,1951,1953,1194,1322,2,2,3,5,2,292237
204,45,RL,58,12579,Veenker,4,6,1936,1978,1350,1387,2,0,2,7,2,243824
205,190,RL,53,13473,OldTown,7,9,1965,1986,1272,2442,2,1,3,6,1,393371
206,90,RL,78,5614,MeadowV,7,5,1902,2009,1069,1183,2,0,4,10,1,345107
207,40,RL,81,8034,MeadowV,7,4,1984,2009,1190,1526,1,0,3,6,2,298544
208,70,RL,62,6485,NridgHt,8,5,1946,1969,826,843,2,0,3,5,2,290231
209,60,RL,58,8353,Blmngtn,5,5,1913,1990,929,1970,2,0,3,4,2,298787
210,80,C (all),53,13364,Blmngtn,4,7,1912,1972,669,1410,1,1,2,6,2,273849
211,160,RM,77,8119,SWISU,5,5,1925,1994,1672,2089,1,0,3,5,1,266786
212,90,RL,53,10359,CollgCr,5,8,1960,1967,1274,334,1,1,3,7,1,178279
213,50,RL,114,6330,Gilbert,7,5,1966,1998,1840,1470,2,0,2,8,1,278877
214,20,RL,61,15405,NAmes,6,9,1894,1974,1968,1566,1,2,4,6,3,209820
215,40,RL,21,8319,NAmes,7,1,2002,2002,488,1955,2,0,3,7,2,319345
216,120,RM,69,16591,Blueste,4,7,2000,2003,1444,1179,2,0,0,8,1,212348
217,180,RM,68,10743,NridgHt,8,8,1957,1964,506,1893,2,0,3,6,1,326551
218,80,RL,92,4872,OldTown,5,9,1945,1983,1120,1236,1,1,3,5,3,172838
219,160,RL,75,9815,NWAmes,6,2,1918,1997,1175,1546,1,0,2,6,2,285418
220,60,RL,53,6248,BrDale,5,4,1897,1969,535,1960,1,0,3,9,3,271404
221,80,RL,64,12857,NPkVill,7,6,1900,2003,754,1035,1,0,4,8,2,237410
222,90,RL,76,9454,Veenker,5,2,1906,1986,1194,1870,2,0,3,5,2,332122
223,45,RM,26,11152,NridgHt,8,3,1881,1976,1120,1667,2,0,4,6,1,268615
224,20,RL,96,9022,Blmngtn,8,5,1976,1976,642,1333,1,0,4,8,1,305068
225,20,RL,53,8278,Sawyer,7,5,1918,2000,770,1165,2,1,4,7,0,226102
226,120,FV,98,6605,Crawfor,3,5,1935,1954,453,449,1,1,2,8,1,192679
227,45,RL,77,13844,ClearCr,7,3,1986,1986,568,1459,1,1,3,6,2,287455
228,180,RL,82,9807,Sawyer,7,4,2006,2006,901,1333,2,0,0,10,3,342025
229,70,RL,92,9241,Gilbert,4,5,1892,1952,1444,1819,0,0,3,8,1,290070
230,30,RL,81,9707,IDOTRR,4,6,2005,2005,1495,1768,2,2,4,5,3,359861
231,40,RL,83,7784,Gilbert,4,4,1935,1973,1783,2035,2,0,2,7,2,313129
232,20,RL,66,9254,SWISU,2,5,1907,1973,1219,2053,2,0,3,5,2,204514
233,50,RL,77,11322,OldTown,6,8,1943,1952,1125,3077,1,1,3,6,2,400541
234,20,RH,58,6363,Sawyer,9,10,1950,1994,1248,1756,1,0,2,7,2,367695
235,80,RL,63,6942,Blmngtn,5,9,1998,1998,1244,1069,1,0,2,6,1,138710
236,20,RM,109,16013,SawyerW,6,7,1979,1979,403,1913,2,0,3,7,2,222594
237,160,C (all),53,9048,NPkVill,9,5,1920,2005,1805,2302,1,0,2,6,2,435455
238,20,RL,73,8293,OldTown,5,6,1883,1952,277,1737,1,0,3,8,2,302591
239,30,RM,72,5124,NoRidge,7,5,1967,1967,1509,437,2,0,3,6,2,258458
240,30,RL,63,13902,NoRidge,6,6,1963,1978,1072,1777,2,0,3,8,2,343698
241,180,FV,80,6276,Mitchel,6,5,1925,1999,614,1185,2,1,2,5,2,256730
242,60,RL,81,10438,CollgCr,5,6,1967,1978,1262,839,2,0,3,6,3,257805
243,70,RL,51,3667,Timber,6,5,1886,1959,1002,1593,1,1,1,7,2,272885
244,50,RL,72,13772,Veenker,3,2,1956,1981,776,737,1,0,4,6,4,216606
245,20,RM,48,15207,OldTown,7,7,1972,1972,497,2011,1,1,3,6,2,337495
246,20,RL,85,12438,NWAmes,5,2,1899,1988,463,1865,1,1,4,6,2,249280
247,40,RL,73,4362,MeadowV,8,5,1957,1958,805,1456,2,1,3,11,0,343792
248,30,RM,71,13855,Blueste,5,1,1906,1986,895,1224,1,1,3,5,2,207706
249,50,RL,83,7190,Mitchel,4,5,1999,2001,565,1407,2,0,3,8,2,311452
250,180,RL,64,5816,Veenker,6,3,1904,1989,1065,994,1,0,2,7,0,223939
251,120,RL,88,8966,NWAmes,4,8,1931,1963,622,1461,1,0,3,6,2,237347
252,60,RL,51,8886,OldTown,7,5,1900,1953,1194,334,2,0,1,7,3,220293
253,70,RL,98,8479,NWAmes,9,5,1897,1969,1542,1544,1,0,4,8,2,360434
254,45,FV,58,15594,NWAmes,7,5,1918,1977,1165,1557,2,0,3,7,1,276620
255,70,RL,36,18547,IDOTRR,2,6,1894,1963,1012,1922,3,0,5,9,2,221835
256,160,RL,63,5023,NPkVill,6,7,1932,1993,836,1649,2,1,3,5,0,290648
257,80,RL,61,7744,Gilbert,6,6,1917,1983,1628,1988,1,1,2,7,2,382288
258,160,RM,63,11070,Somerst,7,6,1931,1962,972,1773,2,0,3,6,2,263123
259,20,RH,74,8945,NoRidge,3,8,1951,1980,2046,2018,1,0,2,6,2,338915
260,60,RL,91,12097,Sawyer,6,7,1907,1982,576,2810,2,1,2,7,2,400353
261,80,RM,66,14163,Gilbert,6,6,1997,2001,1165,1710,1,0,2,7,1,222339
262,50,RL,56,13497,NAmes,4,5,1914,1988,1615,1592,1,0,4,6,3,246918
263,45,RM,47,12938,Edwards,5,6,1978,1978,773,2093,3,0,3,6,3,370346
264,30,RL,60,17136,Blueste,5,5,1931,1974,955,1265,1,0,3,7,0,246490
265,60,FV,32,4144,NWAmes,7,6,1962,1981,1300,1440,2,0,2,7,2,388979
266,60,RL,55,16420,Somerst,8,7,1927,1958,1205,1710,1,1,3,6,2,320833
267,160,RL,94,8848,Mitchel,6,6,1901,1977,1273,1536,2,0,3,5,2,264234
268,20,RM,53,13640,Crawfor,5,7,2002,2007,1514,1533,2,0,3,8,1,348177
269,90,RL,82,6381,NAmes,5,3,2006,2006,911,1949,1,1,2,8,2,266530
270,180,RL,45,6866,MeadowV,9,3,1931,1966,1624,651,2,1,3,6,3,298386
271,160,RL,105,13148,Sawyer,9,5,1958,2002,361,2516,2,0,3,6,1,390006
272,60,RL,106,2785,ClearCr,8,8,2008,2008,1480,1742,2,1,2,6,1,379965
273,190,RL,81,14457,StoneBr,7,7,1945,1962,1508,1299,1,1,5,9,1,259426
274,40,RL,109,15539,Edwards,5,6,1943,2004,740,2314,2,1,2,8,2,319077
275,45,RL,77,11211,NridgHt,7,6,1887,1959,469,1551,1,1,3,5,3,273305
276,180,RL,85,11067,OldTown,5,6,1904,1965,957,1564,1,1,2,8,2,197760
277,160,RM,95,7165,Crawfor,5,8,1973,1973,1211,1392,1,0,1,4,1,248059
278,45,RL,73,13197,BrDale,7,7,1894,1997,915,2233,2,1,4,6,2,247642
279,40,RL,38,11890,NWAmes,3,6,2001,2001,1250,1495,2,1,4,9,2,233312
280,120,RL,85,6813,BrDale,3,6,1954,2007,1825,1220,1,0,3,9,0,189897
281,40,RL,60,8934,NWAmes,5,5,1983,2001,504,1999,2,0,4,8,2,324403
282,40,RM,62,9862,IDOTRR,5,6,1917,1952,268,2091,2,1,4,6,1,277404
283,45,RL,75,8928,Veenker,8,5,1994,1994,1022,2303,1,1,3,6,2,455547
284,70,RL,81,5048,Sawyer,4,4,1918,1990,777,1816,2,0,4,9,2,224731
285,45,RM,73,13296,StoneBr,4,7,1987,1987,857,2073,1,0,3,7,2,296508
286,90,RM,82,9525,BrkSide,4,5,1896,2009,1556,1370,1,1,3,6,3,221348
287,20,RL,55,10561,Edwards,2,9,1997,1997,1001,2012,1,0,3,7,3,248123
288,80,RM,69,8186,StoneBr,3,5,1918,1991,1038,1871,2,0,2,9,1,231866
289,70,FV,86,12401,Gilbert,6,5,1914,2001,875,1765,3,0,4,9,3,388976
290,30,RL,105,11294,BrkSide,5,5,1930,2005,1034,721,1,0,2,7,2,237993
291,80,RM,112,15351,Edwards,7,4,1926,1994,1157,1305,1,1,4,8,2,285114
292,20,RL,78,12422,SawyerW,10,5,1915,1966,2163,1477,1,0,3,4,1,421897
293,160,RL,86,9689,Sawyer,6,5,1943,1956,1161,1765,2,0,3,7,1,324235
294,180,RL,109,7541,Blueste,3,4,1974,1977,1515,2700,2,0,2,7,3,334908
295,90,RL,56,13963,ClearCr,4,5,1984,1987,1124,1929,2,0,4,4,1,309035
296,90,RM,82,9369,IDOTRR,8,5,1892,1962,238,1094,2,1,2,8,1,238257
297,30,C (all),85,9813,NAmes,6,6,1991,2009,823,1259,2,0,3,9,2,399800
